Index1,Index2,Word1,Word2,X_Position,Cosine_Similarity
[0],[0],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","social media has revolutionized the way people connect,communicate,and share information.",0,0.7755645717
[0],[1],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","over the last two decades,platforms such as facebook,instagram,and twitter have transformed how we interact with friends,family,and the world at large.",0,0.7861042893
[0],[2],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","what was once a limited form of communicationrelying on traditional mail,telephones,or in-person meetingshas evolved into a dynamic and instant mode of connection that allows individuals to share moments from their lives with a global audience.",0,0.6422068137
[0],[3],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","these platforms have also become essential tools for businesses,offering unprecedented access to potential customers and providing brands with a direct line of communication with their target audience.",0,0.6393047586
[0],[4],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","through the use of data analytics and algorithm-driven recommendations,companies can reach the right consumers at the right time,enhancing their marketing strategies and increasing sales.",0,0.3874044448
[0],[5],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","additionally,the influence of social media personalities and influencers has become a significant force in marketing,as these individuals use their platforms to promote products and services to their followers.",0,0.5766928766
[0],[6],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","however,the rise of social media has not come without its drawbacks.",0,0.5830168061
[0],[7],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","concerns have emerged regarding the impact of social media on mental health,particularly among teenagers and young adults.",0,0.5291620804
[0],[8],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","research has shown that constant engagement with social media platforms can lead to issues such as anxiety,depression,and social isolation,as users feel pressured to maintain a curated,idealized version of their lives online.",0,0.5572638352
[0],[9],"social media platforms,which include popular websites like facebook,twitter,instagram,and tiktok,have fundamentally changed the way individuals communicate and interact with one another.","furthermore,the rapid spread of misinformation on social media poses a serious risk,as false narratives can be disseminated quickly and widely,leading to widespread confusion and misunderstanding.",0,0.5006694037
[1],[0],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","social media has revolutionized the way people connect,communicate,and share information.",67,0.5029890454
[1],[1],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","over the last two decades,platforms such as facebook,instagram,and twitter have transformed how we interact with friends,family,and the world at large.",67,0.5382810275
[1],[2],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","what was once a limited form of communicationrelying on traditional mail,telephones,or in-person meetingshas evolved into a dynamic and instant mode of connection that allows individuals to share moments from their lives with a global audience.",67,0.6731812413
[1],[3],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","these platforms have also become essential tools for businesses,offering unprecedented access to potential customers and providing brands with a direct line of communication with their target audience.",67,0.4030131615
[1],[4],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","through the use of data analytics and algorithm-driven recommendations,companies can reach the right consumers at the right time,enhancing their marketing strategies and increasing sales.",67,0.2599505695
[1],[5],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","additionally,the influence of social media personalities and influencers has become a significant force in marketing,as these individuals use their platforms to promote products and services to their followers.",67,0.3068671384
[1],[6],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","however,the rise of social media has not come without its drawbacks.",67,0.3712736311
[1],[7],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","concerns have emerged regarding the impact of social media on mental health,particularly among teenagers and young adults.",67,0.3356935962
[1],[8],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","research has shown that constant engagement with social media platforms can lead to issues such as anxiety,depression,and social isolation,as users feel pressured to maintain a curated,idealized version of their lives online.",67,0.3237883566
[1],[9],"in the past,people primarily relied on face-to-face conversations,telephone calls,and written correspondence to stay in touch with family and friends.","furthermore,the rapid spread of misinformation on social media poses a serious risk,as false narratives can be disseminated quickly and widely,leading to widespread confusion and misunderstanding.",67,0.3301899437
[2],[0],"however,the rise of social media has enabled instantaneous communication across vast distances,allowing users to post status updates,share images and videos,and engage with others in real-time,no matter where they are located.","social media has revolutionized the way people connect,communicate,and share information.",134,0.7090351768
[2],[1],"however,the rise of social media has enabled instantaneous communication across vast distances,allowing users to post status updates,share images and videos,and engage with others in real-time,no matter where they are located.","over the last two decades,platforms such as facebook,instagram,and twitter have transformed how we interact with friends,family,and the world at large.",134,0.653356998
